Code,Description
H00277,"In botanical studies, Radix seu Rhizoma rdostachyos has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00278,"In botanical studies, Scutellaria rehderiana has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00279,"Crataegus kansuensis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00280,"Radix Kansui is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00281,"In botanical studies, Salvia przewalskii has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00284,"Sorbaria arborea is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00285,"In botanical studies, Macropiper excelsum has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00287,"Scutellaria altissima is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00288,"Coffea excelsa is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00289,"In botanical studies, Radix Ginseng Korea has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00292,"Radix Puerariae is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00293,"flos puerariae lobatae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00294,"Concha Meretricis seu Cyclinae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00295,"Actinidia rubricaulis var. coriacea is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00296,"Caulis Mahoniae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00298,"Ilex cornuta is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00301,"In botanical studies, Cudrania cochinchinensis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00302,"Poncirus trifoliata is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00303,"Poncirus trifoliata is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00305,"In botanical studies, Lycium chinense has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00306,"Lycium chinense is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00307,"Fructus Lycii is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00308,"Broussonetia papyrifera is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00309,"Ramulus Uncariae cum Uncis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00310,"Ancistrocladus korupensis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00311,"Flos Eriocauli is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00312,"Erythroxylum coca is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00313,"The herb Rhizoma Dryriae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00315,"Calycis Melo is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00318,"The herb Hypericum perforatum is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00319,"The herb Rhizoma Dryopteris crassirhizomae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00320,"Glycyrrhiza glabra is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00323,"Rubia wallichiana is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00324,"In botanical studies, Rauwolfia nitida has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00325,"The herb Fructus Choerospondiatis is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00326,"Plastrum Testudinis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00327,"In botanical studies, Colla carapacis et plastri testudinis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00328,"Caragana jubata is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00329,"Ramulus Euonymi is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00330,"The herb Ramulus Euonymi is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00331,"Dysosma versipellis [Syn. Podophyllum versipelle ] is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00333,"In botanical studies, Herba Bidentis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00334,"In botanical studies, Ramulus Cinmomi has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00335,"Morinda citrifolia is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00336,"Acacia catechu is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00338,"Concha Cyclinae is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00339,"Adenanthera pavonina is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00340,"Spora Lygodii is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00341,"The herb Cortex erythrie is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00342,"Sargassum is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00343,"In botanical studies, Herba Ecliptae Prostratae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00344,"In botanical studies, Apium graveolens has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00345,"In botanical studies, Apium graveolens var. dulce has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00346,"Radix Notoginseng is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00347,"Calcitum is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00348,"The herb Scutellaria indica is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00349,"In botanical studies, Mimosa pudica has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00350,"Angelica taiwaniana is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00351,"In botanical studies, Flos Chrysanthemi has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00352,"Fructus Carpesii is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00353,"Polygonum multiflorum is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00354,"Semen Juglandis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00355,"Folium Nelumbinis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00356,"The herb Fructus Chebulae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00357,"Glycine max is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00358,"Semen Glycine Max is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00360,"In botanical studies, Tripterygium regelii has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00361,"Valeriana amurensis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00363,"Scurrura atropurpurea is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00366,"Trifolium pratense is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00367,"Capsicum annuum is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00369,"Flos Carthami is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00370,"In botanical studies, Gentiana rhodantha has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00371,"Meconopsis punicea is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00372,"Radix et Rhizoma Rhodiolae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00373,"Chamaenerion angustifolium [Syn. Epilobium angustifolium ] is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00374,"In botanical studies, Herba Lagotidis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00376,"In botanical studies, Semen Oryzae cum Monasco Fermentatum has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00377,"Radix Ginseng Rubra is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00378,"Magnolia officinalis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00381,"In botanical studies, Cortex Magnoliae officilis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00382,"In botanical studies, Flos Magnoliae Offcinalis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00383,"In botanical studies, Saxifraga Stolonifera has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00385,"Herba Visci is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00386,"Fructus Piperis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00388,"Tadehagi triquetrum is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00389,"Rhodiola subopposita is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00391,"Rhizoma Polygoni cuspidati is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00392,"Fraxinus ornus is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00393,"Radix Trichosanthis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00394,"In botanical studies, Uncaria sinensis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00395,"Pericarpium Zanthoxyli is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00396,"Exocarpium Citri grandis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00397,"Actinidia glaucophylla is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00398,"Evodia austrosinensis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00399,"Ophicalcitum is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00400,"The herb Symplocos chinensis is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00401,"The herb Testa Arachidis Hypogaeae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00402,"Schisandra sphenanthera is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00403,"Sophora japonica is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00404,"In botanical studies, flos Sophorae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00405,"fructus Sophorae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00406,"Phellodendron amurense is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00407,"Cortex Phellodendri is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00408,"The herb Glycyrrhiza kansuensis is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00409,"Hypericum ascyron is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00410,"The herb Lonicera fulvotomentosa is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00411,"Patrinia scabiosaefolia is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00412,"Artemisia annua is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00413,"Piptanthus nepalensis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00414,"The herb Rhizoma Polygoti is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00416,"The herb Rhizoma Coptidis is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00417,"Pueraria calycina is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00418,"Radix Astragali is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00419,"Radix Scutellariae is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00420,"Abelmoschus manihot is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00421,"The herb Rhizoma Dioscoreae bulbiferae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00422,"In botanical studies, Lupinus luteus has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00423,"Foeniculum vulgare is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00424,"Semen Canbis;Fructus Canbis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00425,"Herba Capsellae is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00426,"Capsella bursa- pastoris is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00427,"Glycyrrhiza echinata is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00428,"Herba Abri is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00429,"In botanical studies, Flos Celosiae cristatae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00430,"In botanical studies, Erythrina latissima has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00431,"Fructus Tribuli is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00432,"The herb Loropetalum chinense is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00433,"Gallus gallus domesticus is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00434,"The herb Piper guineense is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00435,"The herb Rhodiola algida is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00436,"Plumbagella micrantha is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00437,"Reineckea carnea is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00438,"Semen Impatientis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00439,"herba centellae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00440,"Caulis Millettiae; Caulis spatholobi is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00441,"Kummerowia striata is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00442,"In botanical studies, Sinoadina racemosa [Syn. Adina racemosa ] has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00443,"Bacopa monniera is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00444,"The herb Nerium indicum is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00445,"Arnebia guttata is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00446,"The herb Cassia acutifolia is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00447,"Epimedium sagittatum is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00448,"In botanical studies, Perilla frutescens var. acuta has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00449,"The herb Cortex Zingiberis is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00450,"Lignum Dalbergiae odoriferae Rosewood is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00454,"The herb Ceratostigma plumbaginoides is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00456,"Radix Platycodi is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00457,"The herb Sambucus williamsii is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00458,"In botanical studies, Herba Inulae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00459,"Actinidia chrysantha is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00460,"Berberis wilsonae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00462,"In botanical studies, Flos Trollii chinensis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00463,"Cibotium barometz [Syn. Polypodium barometz ] is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00464,"In botanical studies, Herba Glechomae Longitubae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00465,"Rhizoma Fagopyri Cymosi is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00466,"The herb Hypericum patulum is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00467,"In botanical studies, Craibiodendron yunnanese has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00468,"In botanical studies, Flos Lonicerae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00469,"In botanical studies, Fructus Rosae laevigatae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00470,"The herb Radix Euphorbia Pekinensis is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00471,"Herba Schizonepetae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00473,"In botanical studies, Actinidia callosa var. henryi has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00477,"Aspongopus is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00478,"In botanical studies, Flos Chrysanthemi has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00479,"In botanical studies, Herba Cichorii has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00480,"In botanical studies, Citrus reticulata has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00481,"In botanical studies, folium citri tangerie has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00483,"Herba Selaginellae is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00484,"Semen Cassiae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00485,"Piper methysticum is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00487,"Tagetes patula is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00488,"The herb Ulva pertusa is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00489,"Herba Corydalis bungeae is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00491,"In botanical studies, Sophora alopecuroides has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00492,"In botanical studies, Herba Sophorae Alopecuroidis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00493,"Conyza blinii is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00494,"Fagopyrum tataricum is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00495,"In botanical studies, Radix Sophorae flavescentis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00496,"Sophora flavescens [Syn. Sophora angustfolia] is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00497,"Semen armeniacae amarum is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00498,"Phlomis tuberosa is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00499,"flos farfarae is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00500,"In botanical studies, Typha latifolia has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00501,"Tripterygium hypoglaucum is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00502,"In botanical studies, Actinidia latifolia has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00503,"The herb fructus Capsici is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00504,"Raphanus sativus is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00505,"In botanical studies, Semen Raphani has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00506,"The herb Brandisia hancei is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00507,"In botanical studies, Extractum Piri Laiyanensis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00508,"Isodon japonica var. glaucocalyx is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00510,"The herb Bidens tripartita is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00511,"In botanical studies, Herba ErodiiHerba Geranii has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00512,"The herb Acanthus ilicifolius is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00513,"radix tripterygii wilfordii is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00514,"In botanical studies, Viscum angulatum has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00515,"Scutellaria likiangensis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
