DrugID,Descriptions
D00946,"Magnesium is a medication used for many purposes including constipation, indigestion, magnesium deficiency, and pre-eclampsia."
D00947,"Diamorphine is an opioid analgesic agent used in the relief of severe pain associated with surgical procedures, myocardial infarction or pain in the terminally ill and for the relief of dyspnea in acute pulmonary edema."
D00948,"Cefuroxime is a cephalosporin indicated for the treatment of a variety of infections including acute bacterial otitis media, several upper respiratory tract infections, skin infections, urinary tract infections, gonorrhea, early Lyme disease, and impetigo."
D00949,"Cefepime is a fourth-generation cephalosporin antibiotic used in the treatment of infections caused by susceptible bacteria, such as pneumonia, urinary tract infections, and skin infections."
D00950,"Trandolapril is a prodrug of an ACE inhibitor used to treat hypertension, congestive heart failure, and to improve survival following a myocardial infarction."
D00951,"Pregabalin is an anticonvulsant drug used to treat neuropathic pain conditions and fibromyalgia, and for the treatment of partial onset seizures in combination with other anticonvulsants."
D00954,Aliskiren is a direct renin inhibitor used to manage hypertension.
D00955,Otamixaban is a novel direct Factor Xa (FXa) inhibitor. It is currently being developed by the French pharmaceutical company Sanofi-Aventis as a treatment for acute coronary syndrome.
D00956,"Famotidine is a histamine H2 receptor antagonist used to treat duodenal ulcers, benign gastric ulcers, GERD, and Zollinger-Ellison syndrome."
D00957,"Cisplatin is a platinum based chemotherapy agent used to treat various sarcomas, carcinomas, lymphomas, and germ cell tumors."
D00958,Magnesium citrate is a laxative used in bowel preparation for colonoscopy or as a magnesium supplement.
D00959,Gadobutrol is a contrast agent used during diagnostic procedures to visualize disrupted areas of blood brain barrier (BBB) and/or abnormal vascularity of the central nervous system.
D00960,Proguanil is a medication indicated for prophylaxis and treatment of Plasmodium falciparum malaria.
D00961,"Ivermectin is an anti parasite medication used to treat head lice, onchocerciasis, strongyloidiasis, ascariasis, trichuriasis, and enterobiasis."
D00962,Tipiracil is a thymidine phosphorylase inhibitor used as an adjunct treatment of adult patients with certain types of gastric or colorectal malignancies.
D00963,Rifamycin is an antibacterial used to treat traveler's diarrhea.
D00964,"Tetrofosmin is a diphosphine complexed with technetium 99 used for imaging to determine myocardial ischemia, infarcted myocardium, and assessment of left ventricular function."
D00965,"Cefpodoxime is a third-generation cephalosporin antibiotic used in the treatment of various bacterial infections, including gonorrhea, community acquired pneumonia, and sinusitis."
D00966,"Palonosetron is a serotonin antagonist used in the prophylaxis or management of vomiting that results from emetogenic chemotherapy, and for the management of postoperative nausea and vomiting."
D00967,Tenofovir disoproxil is a nucleotide analog reverse transcriptase inhibitor used in the treatment of Hepatitis B infection and used in the management of HIV-1 infection.
D00968,Ferrous fumarate is a medication used to treat iron-deficiency anemia.
D00969,"Simethicone is an anti-flatulence agent used to relieve pressure, bloating, and symptoms referred to as gas."
D00970,"Rifaximin is a rifamycin-based non-systemic antibiotic used for the treatment of gastrointestinal bacterial infections, such as traveler's diarrhea and irritable bowel syndrome, and reduction of overt hepatic encephalopathy recurrence in adults."
D00971,Lumefantrine is an antimalarial agent used in combination with artemether for the treatment of acute uncomplicated malaria caused by Plasmodium falciparum.
D00972,Everolimus is a mammalian target of rapamycin (mTOR) kinase inhibitor used to treat various types of malignancies.
D00973,Ixabepilone is a microtubule inhibitor administered in combination with capecitabine or alone in the treatment of metastatic or locally advanced breast cancer that has shown inadequate response to taxanes and anthracyclines.
D00974,Axitinib is an oral VEGFR and kinase inhibitor used for the treatment of advanced renal cell carcinoma after failure of one prior systemic therapy.
D00975,Netupitant is an antiemetic agent used in combination with palonosetron to prevent acute and delayed vomiting and nausea caused by chemotherapy.
D00976,Rilpivirine is a non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with other antiretrovirals to specifically treat human immunodeficiency virus type 1 (HIV-1).
D00977,Sulodexide is a drug used to treat chronic venous ulcers in the legs.
D00978,Delamanid is an antibiotic used to treat multidrug resistant tuberculosis.
D00979,Norgestimate is a progesterone used as a contraceptive and to treat acne vulgaris.
D00980,Nitrofurantoin is an antibiotic used to treat urinary tract infections.
D00981,Nifurtimox is an antiparasitic drug used for the treatment of Chagas disease (Trypanosoma cruzi infection).
D00983,Cefdinir is a third generation cephalosporin used to treat susceptible Gram negative and Gram positive bacterial infections.
D00984,Cisapride is a medication used to treat heartburn associated with GERD.
D00985,Etonogestrel is a long-acting synthetic derived progestin contraceptive used in various devices such as contraceptive rings and intradermal implants.
D00986,Levomilnacipran is a selective serotonin and norepinephrine reuptake inhibitor (SNRI) used to treat major depressive disorder (MDD).
D00987,Treprostinil is a prostacyclin vasodilator for the treatment of pulmonary arterial hypertension to relieve exercise associated symptoms and to prevent clinical deterioration after stopping epoprostenol.
D00988,Strontium ranelate is a medication used for the management of severe osteoporosis in high-risk postmenopausal women and adult men.
D00989,"Flibanserin is a 5-HT receptor modulator used for the treatment of selected premenopausal women with acquired, generalized hypoactive sexual desire disorder (HSDD)."
D00990,Temsirolimus is a antineoplastic agent used in the treatment of renal cell carcinoma (RCC) that works by inhibiting mTOR.
D00991,Vinflunine is a vinca alkaloid used to treat advanced or metastatic transitional cell carcinoma of the urothelial tract after a platinum containing treatment has failed.
D00992,Dutasteride is an antiandrogenic compound that is used for the treatment of symptomatic benign prostatic hyperplasia (BPH) in adult males by inhibiting 5-alpha reductase.
D00993,Ganaxolone is a neuroactive steroid GABA-A receptor modulator used for the treatment of seizures associated with CDKL5 deficiency disorder (CDD).
D00994,Vilazodone is an antidepressant agent used for the treatment of major depressive disorder that targets the 5-HT transporter and 5-HT1A receptors.
D00995,"Prasugrel is a P2Y12 platelet inhibitor used to reduce risk of thrombotic cardiovascular events in unstable angina or non-ST-elevation myocardial infarction (NSTEMI), and in patients with STEMI when managed with either primary or delayed PCI."
D00997,Voclosporin is a calcineurin inhibitor for the treatment of lupus nephritis (LN) in patients diagnosed with systemic lupus erythematosus (SLE).
D00998,Ambrisentan is a selective type A endothelin receptor antagonist used to treat primary pulmonary arterial hypertension and pulmonary arterial hypertension based on diagnostic classifications.
D01001,Ingenol mebutate is a topical agent used for the treatment of actinic keratosis.
D01002,Panobinostat is a non-selective histone deacetylase inhibitor used to treat multiple myeloma in combination with other antineoplastic agents.
D01004,"Esomeprazole is a proton pump inhibitor used to treat GERD, reduce the risk of NSAID associated gastric ulcers, eradicate H. pylori, and to treat conditions causing gastric acid hypersecretion."
D01005,Azimilide is an investigational class III anti-arrhythmic drug that blocks fast and slow components of the delayed rectifier cardiac potassium channels.
D01007,"Ximelagatran is an anticoagulant intended to become a replacement for warfarin by overcoming the dietary restrictions, drug interaction, and monitoring issues associated with the former."
D01008,Tenofovir alafenamide is a nucleoside analog reverse transcriptase inhibitor used for the treatment of chronic hepatitis B virus infection in adults with compensated liver disease.
D01009,"Lansoprazole is a proton pump inhibitor used to help gastrointestinal ulcers heal, to treat symptoms of gastroesophageal reflux disease (GERD), to eradicate Helicobacter pylori, and to treat hypersecretory conditions such as Zollinger-Ellison Syndrome."
D01010,"Armodafinil is a stimulant used to improve wakefulness in adult patients with excessive sleepiness associated with obstructive sleep apnea, narcolepsy, or shift work disorder."
D01012,Macimorelin is a medication used to treat adult growth hormone deficiency.
D01014,Estradiol acetate is an estrogen used to treat vasomotor symptoms and moderate to severe vulvar and vaginal atrophy from menopause.
D01017,"Lenvatinib is a receptor tyrosine kinase inhibitor used for the treatment of metastatic thyroid cancer, advanced renal cell carcinoma in combination with everolimus, and unresectable hepatocellular carcinoma."
D01019,"Midostaurin is an antineoplastic agent used to treat high-risk acute myeloid leukemia (AML) with specific mutations, aggressive systemic mastocytosis (ASM), systemic mastocytosis with associated hematologic neoplasm (SM-AHN), or mast cell leukemia (MCL)."
D01020,Icosapent ethyl is an ethyl ester of eicosapentaenoic acid (EPA) that reduces synthesis and enhances clearance of triglycerides that is used to treat patients with severe hypertriglyceridemia.
D01021,Maralixibat is an ileal bile acid transporter inhibitor indicated to treat cholestatic pruritus in patients with Alagille syndrome.
D01022,"Moxidectin is a potent, broad-spectrum endectocide (antiparasitic that is active against endo- and ecto-parasites) with activity against nematodes, insects, and acari."
D01023,Brivaracetam is an anticonvulsant used for the treatment of partial-onset seizures that functions by binding to synaptic vesicle glycoprotein 2A (SV2A) in the brain.
D01024,"Tapentadol is an opioid used to manage severe pain that has not responded to non-opioid medications, and for which opioid analgesic therapy is appropriate."
D01025,Tauroursodeoxycholic acid is the taurine conjugate of ursodeoxycholic acid with antiapoptotic and ER stress response dampening effects used in some countries to treat gallstones. It is also being investigated for a wide variety of other conditions.
D01026,"Fesoterodine is an antimuscarinic agent used in the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and frequency."
D01027,Avatrombopag is a thrombopoietin receptor agonist used to treat thrombocytopenia in patients with chronic liver disease who are scheduled to undergo a procedure.
D01028,"Lomitapide is a microsomal triglyceride transfer protein inhibitor used to lower cholesterol associated with homozygous familial hypercholesterolemia (HoFH), reducing risk of cardiovascular events such as myocardial infarction and stroke."
D01029,"Cangrelor is a P2Y12 platelet receptor antagonist used during percutaneous coronary intervention to reduce the risk for periprocedural myocardial infarction (MI), repeat coronary revascularization, and stent thrombosis (ST)."
D01030,Cabazitaxel is an antineoplastic agent used in combination with corticosteroids to treat metastatic castration-resistant prostate cancer in patients previously treated with a docetaxel-containing treatment regimen.
D01031,Mirabegron is a beta-3 adrenergic agonist used to treat overactive bladder and neurogenic detrusor overactivity.
D01032,Remimazolam is an ultra short-acting benzodiazepine used for the induction and maintenence of procedural sedation during short procedures.
D01033,Avanafil is a phosphodiesterase-5 (PDE5) inhibitor used to treat erectile dysfunction.
D01034,Cefditoren is a broad-spectrum third-generation cephalosporin antibiotic typically used to treat bacterial infections of the skin and respiratory tract.
D01035,"Ticagrelor is a P2Y12 platelet inhibitor used in patients with a history of myocardial infarction or with acute coronary syndrome (ACS) to prevent future myocardial infarction, stroke and cardiovascular death."
D01036,Rivaroxaban is a factor Xa inhibitor used to treat deep vein thrombosis (DVT) and pulmonary embolism (PE). May also be used as thrombosis prophylaxis in specific situations.
D01037,Gabapentin enacarbil is a gabapentin prodrug used to treat Restless Legs Syndrome (RLS) and postherpetic neuralgia (PHN).
D01038,Dapagliflozin is a sodium-glucose cotransporter 2 inhibitor used in the management of type 2 diabetes mellitus.
D01040,Selexipag is a non prostanoid IP prostacyclin receptor agonist used to treat pulmonary arterial hypertension.
D01041,"Perampanel is a non-competitive AMPA glutamate receptor antagonist used to treat partial-onset seizures with or without secondarily generalized seizures, and as adjunctive treatment of primary generalized tonic-clonic seizures in patients with epilepsy."
D01042,"Tofacitinib is a Janus kinase (JAK) inhibitor used to treat rheumatic conditions, such as rheumatoid arthritis and ankylosing spondylitis, and ulcerative colitis."
D01043,Rucaparib is a poly (ADP-ribose) polymerase (PARP) inhibitor used to treat recurrent ovarian and prostate cancers in previously treated adults.
D01044,Pitolisant is an antagonist and inverse agonist at the histamine H3 receptor that is used to treat narcolepsy in adults.
D01045,Levocetirizine is an H1-receptor antagonist used to treat symptoms associated with chronic allergic rhinitis and uncomplicated cases of chronic idiopathic urticaria.
D01046,Vortioxetine is a serotonin modulating antidepressant indicated for the treatment of major depressive disorder (MDD).
D01048,Pimavanserin is a second generation atypical antipsychotic used for the treatment of hallucinations and delusions caused by Parkinson's Disease.
D01049,Vorapaxar is a platelet aggregation inhibitor used to reduce thrombotic cardiovascular events in patients with a history of myocardial infarction (MI) or peripheral arterial disease (PAD).
D01050,Linagliptin is a dipeptidyl peptidase-4 (DPP-4) inhibitor used to manage hyperglycemia in patients with type 2 diabetes mellitus.
D01051,Pazopanib is an antineoplastic agent used in the treatment of advanced renal cell cancer and advanced soft tissue sarcoma in patients with prior chemotherapy.
D01052,"Selumetinib is a MEK 1/2 inhibitor used in pediatric patients to treat neurofibromatosis type 1 (NF1) accompanied by symptomatic, inoperable plexiform neurofibromas (PN)."
D01054,Odanacatib is an inhibiter of cathepsin K which was originally developed be Merck & Co as a new treatment for osteoporosis. The drug made it to phase III trials before abandoned due to increased stroke.
D01055,Odevixibat is an ileal sodium/bile acid cotransporter inhibitor indicated in the treatment of pruritus in patients with progressive familial intrahepatic cholestasis.
D01056,"Aluminum hydroxide is an antacid used for the symptomatic relief of heartburn, acid indigestion, and sour stomach."
D01057,"Apixaban is an anticoagulant used for the prophylaxis of stroke and systemic embolism in nonvalvular atrial fibrillation, and deep vein thrombosis(DVT) leading to pulmonary embolism(PE), including in patients after a hip or knee replacement surgery."
D01058,Afatinib is an antineoplastic agent used for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) with non-resistant EGFR mutations or resistance to platinum-based chemotherapy.
D01059,Tasimelteon is a melatonin receptor agonist used to treat Non- 24-Hour Sleep-Wake Disorder.
D01060,Sparsentan is an endothelin and angiotensin II receptor antagonist indicated to reduce proteinuria in adults with primary immunoglobulin A nephropathy at risk of rapid disease progression.
D01061,Betrixaban is a Factor Xa inhibitor used for prophylaxis of venous thromboembolism in hospitalized patients.
D01063,Palovarotene is a selective agonist of retinoic acid receptor gamma (RARγ) used to reduce heterotopic ossification in patients with Fibrodysplasia Ossificans Progressiva (FOP).
D01064,Rolapitant is a neurokinin-1 (NK-1) receptor antagonist used in combination with other antiemetics for the prevention of delayed nausea and vomiting associated with emetogenic chemotherapy.
D01065,Boceprevir is a hepatitis C virus NS3/4A protease inhibitor used in combination with other medications to treat chronic hepatitis C genotype 1 infection. Boceprevir is not indicated as monotherapy.
D01066,Relugolix is an oral GnRH receptor antagonist for androgen deprivation therapy in the treatment of advanced prostate cancer.
D01068,Glycerol phenylbutyrate is a nitrogen-binding agent used to manage patients with urea cycle disorders who cannot be sufficiently managed amino acid supplementation and/or dietary restrictions.
D01070,Cariprazine is an atypical antipsychotic used to treat schizophrenia and acute manic or mixed episodes due to bipolar I disorder.
D01071,"Regorafenib is a kinase inhibitor used to treat patients with metastatic colorectal cancer, unresectable, locally advanced, or metastatic gastrointestinal stromal tumors, and hepatocellular carcinoma."
D01072,Lurasidone is an atypical antipsychotic used to treat schizophrenia and depressive episodes associated with bipolar I disorder.
D01073,Saxagliptin is an DPP-4 inhibitor used for the management of type 2 diabetes mellitus.
D01074,Eluxadoline is a mixed mu-opioid receptor agonist used to treat irritable bowel syndrome with diarrhea.
D01075,Elagolix is a gonadotropin releasing hormone receptor antagonist used to treat moderate to severe pain in endometriosis.
D01077,Riociguat is a stimulator of soluble guanylate cyclase indicated for the management of persistent or recurrent chronic thromboembolic pulmonary hypertension and pulmonary arterial hypertension.
D01079,Fostemsavir is an antiretroviral HIV-1 attachment inhibitor targeted against the gp120 subunit within the HIV-1 gp160 envelope glycoprotein.
D01081,Technetium Tc-99m disofenin is a radiopharmaceutical diagnostic agent used for hepatobiliary scans.
D01082,Alogliptin is a dipeptidyl peptidase-4 (DPP-4) inhibitor used to treat hyperglycemia in patients with type 2 diabetes mellitus.
D01083,Urea C-14 is a diagnostic agent used for the detection of urease associated with Helicobacter pylori in the human stomach and initial diagnosis or post-treatment monitoring of Helicobacter pylori infection in adults.
D01087,Apremilast is a non-steroidal medication used for the treatment of inflammatory conditions such as psoriasis and psoriatic arthritis.
D01088,Lisdexamfetamine is a central nervous system (CNS) stimulant used to treat attention deficit hyperactivity disorder (ADHD) and moderate to severe eating disorders.
D01089,Lasmiditan is an oral 5HT1F agonist used for the acute treatment of migraine headache with or without aura.
D01090,"Idelalisib is an antineoplastic kinase inhibitor used to treat chronic lymphocytic leukemia (CLL), relapsed follicular B-cell non-Hodgkin lymphoma (FL), and relapsed small lymphocytic lymphoma (SLL)."
D01091,"Crizotinib is a receptor tyrosine kinase inhibitor used to treat metastatic non-small cell lung cancer (NSCLC) where the tumors have been confirmed to be anaplastic lymphoma kinase (ALK), or ROS1-positive."
D01092,"Salvianolic Acid B is a compound from the traditional Chinese herb Salvia miltiorrhiza with anti-inflammatory, antioxidant, and anti-tumor effects."
D01093,Letaxaban has been used in trials studying the treatment and prevention of Venous Thromboembolism and Acute Coronary Syndrome.
D01095,"Samidorphan is a novel opioid-system modulator, similar to naltrexone, that functions primarily as a μ-opioid receptor antagonist in vivo and is used primarily in combination with antipsychotics to reduce their metabolic dysfunction-associated adverse effects."
D01096,Fostamatinib is a spleen tyrosine kinase inhibitor used to treat chronic immune thrombocytopenia after attempting one other treatment.
D01097,"Trametinib is a kinase inhibitor used alone or in combination with dabrafenib to treat patients with cancers with specific BRAF mutations, such as melanoma and non-small cell lung cancer."
D01098,Erythropoietin is a recombinant form of human erythropoietin used to increase differentiation of progenitor cells to red blood cells in the treatment of anemia.
D01100,Belumosudil is an oral inhibitor of rho-associated coiled-coil-containing protein kinases (ROCK) used in the treatment of chronic graft-versus-host disease (GVHD).
D01101,"Nitroprusside is a direct acting vasodilator used to treat hypertension, to induce controlled hypotension to reduce postoperative bleeding, and to manage acute heart failure."
D01102,Iodide I-123 is a radiopharmaceutical diagnostic agent used for the evaluation of the thyroid function and/or morphology.
D01103,Cenobamate is a small molecule drug indicated to treat partial onset seizures in adults.
D01104,"Brexpiprazole is a serotonin–dopamine activity modulator used in the treatment of major depressive disorder as an adjunct, schizophrenia, and agitation associated with dementia due to Alzheimer’s disease."
D01105,Ulipristal is a selective progesterone receptor modulator used for emergency contraception after unprotected intercourse or in a situation where a planned method of contraception has failed.
D01106,Enzalutamide is a second-generation androgen receptor inhibitor used to treat castration-resistant prostate cancer and metastatic castration-sensitive prostate cancer.
D01107,Macitentan is an endothelin receptor antagonist used to manage pulmonary arterial hypertension to delay disease progression.
D01108,Asunaprevir is an NS3 protease inhibitor used to treat hepatitis C genotype 1b.
D01109,"Tecovirimat is an antiviral medication used to treat smallpox, monkeypox, and cowpox."
D01110,"Salmon calcitonin is a synthetic peptide form of calcitonin used to inhibit bone resorption in the treatment of hypercalcemia, osteoporosis, and Paget's disease."
D01111,"Desirudin is a direct inhibitor of human thrombin. It has a protein structure that is similar to that of hirudin, the naturally occurring anticoagulant present in the peripharyngeal glands in the medicinal leech, Hirudo medicinalis."
D01112,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.
D01114,Liraglutide is a GLP-1 analog used in the management of type 2 diabetes mellitus and prevention of cardiovascular complications associated with diabetes.
D01115,"Ziconotide is an N-type calcium channel antagonist used to manage patients with severe chronic pain who cannot tolerate, or who have not responded adequately to other treatments such as intrathecal morphine and systemic analgesics."
D01116,Insulin glulisine is a short-acting form of insulin used for glycemic control in type 1 and type 2 diabetes mellitus.
D01117,Insulin detemir is a long-acting form of insulin used for glycemic control in type 1 and type 2 diabetes mellitus.
D01119,Ivacaftor is a cystic fibrosis transmembrane conductance regulator (CFTR) potentiator used alone or in combination products to treat cystic fibrosis in patients who have specific genetic mutations that are responsive to the medication.
D01120,Cobimetinib is an antineoplastic agent and selective inhibitor of the mitogen-activated extracellular kinase (MEK) pathway used to treat unresectable or metastatic melanoma.
D01121,Lumacaftor is a protein chaperone used in combination with ivacaftor for the treatment of cystic fibrosis in patients who are homozygous for the F508del mutation in the CFTR gene.
D01122,"Bismuth subsalicylate is an antidiarrheal and anti-inflammatory agent used for symptomatic treatment of nausea, indigestion, upset stomach, diarrhea, and other temporary discomforts of the stomach and gastrointestinal tract."
D01123,"Fedratinib, also known as SAR302503 and TG101348, is a tyrosine kinase inhibitor used to treat intermediate-2 and high risk primary and secondary myelofibrosis. It is an anilinopyrimidine derivative."
D01125,"Elacestrant is an estrogen receptor antagonist used to treat ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer with disease progression following at least one line of endocrine therapy."
D01127,Sodium fluoride is an ingredient of various dental preparations used to support tooth mineralization and the prevention of dental caries.
D01128,"Olaparib is a poly (ADP-ribose) polymerase (PARP) inhibitor used to treat ovarian cancer, breast cancer, pancreatic cancer, and prostate cancer."
D01129,"Auranofin is an antirheumatic used to treat active, progressive, or destructive forms of inflammatory arthritis."
D01130,Spinosad is a pediculicide used topically to treat head lice.
D01131,"Sonidegib is an antineoplastic agent used for the treatment of locally advanced recurrent basal cell carcinoma (BCC) following surgery and radiation therapy, or in cases where surgery or radiation therapy are not appropriate."
D01132,Vismodegib is a hedgehog pathway inhibitor used to treat patients with locally advanced or metastatic basal cell carcinoma.
D01133,"Danirixin has been used in trials studying the treatment and basic science of Virus Diseases, Nutritional Status, Pulmonary Disease, Chronic Obstructive, and Infections, Respiratory Syncytial Virus."
D01135,Difelikefalin is a kappa opioid receptor agonist used in the treatment of pruritus associated with chronic kidney disease in patients undergoing hemodialysis.
D01136,Valbenazine is a vesicular monoamine transporter 2 inhibitor used to treat tardive dyskinesia.
D01137,Canagliflozin is a sodium-glucose co-transporter 2 (SGLT2) inhibitor used to manage hyperglycemia in type 2 diabetes mellitus (DM). Also used to reduce the risk of major cardiovascular events in patients with established cardiovascular disease and type 2 DM.
D01138,"Ibrutinib is an antineoplastic agent used to treat chronic lymphocytic leukemia, mantle cell lymphoma, and Waldenstrom's Macroglobulinemia."
D01140,Sotagliflozin is an orally administered dual SGLT1/2 inhibitor used alongside insulin to improve glycemic control in patients with type 1 diabetes mellitus.
D01143,Simeprevir is a direct-acting antiviral agent that inhibits HCV NS3/4A protease to treat chronic hepatitis C virus (HCV) infection in adults with HCV genotype 1 or 4.
D01145,Suvorexant is a orexin receptor antagonist used to treat insomnia that is characterized by difficulties with sleep onset and/or sleep maintenance.
D01146,"Momelotinib has been used in trials studying the treatment of Polycythemia Vera, Primary Myelofibrosis, Post-Polycythemia Vera, Essential Thrombocythemia, and Primary Myelofibrosis (PMF), among others."
D01147,Nafarelin is a gonadotropin releasing hormone agonist used to treat central precocious puberty.
D01148,"Cabozantinib is a tyrosine kinase inhibitor used to treat advanced renal cell carcinoma, hepatocellular carcinoma, and medullary thyroid cancer."
D01149,"Ruxolitinib is a kinase inhibitor used to treat various types of myelofibrosis, polycythemia vera in patients who have not responded to or cannot tolerate hydroxyurea, and to treat graft-versus-host disease in cases that are refractory to steroid treatment."
D01150,"Poziotinib has been used in trials studying the treatment of Breast Cancer, Metastatic Breast Cancer, Increased Drug Resistance, Adenocarcinoma of Lung Stage IV, and Adenocarcinoma of Lung Stage IIIB, among others."
D01151,"Entrectinib is a tropomyosin receptor tyrosine kinase (TRK) TRKA, TRKB, TRKC, proto-oncogene tyrosine-protein kinase ROS1, and anaplastic lymphoma kinase (ALK) inhibitor."
D01152,Capmatinib is a kinase inhibitor targeting c-Met receptor tyrosine kinase in the treatment of non-small cell lung cancer with MET exon 14 skipping.
D01153,Pexidartinib is an antitumor agent that is used for the treatment of rare disease tenosynovial giant cell tumors (TGCT) by inhibiting colony-stimulating factor 1 and its receptor.
D01154,Cobicistat is a CYP3A inhibitor used to increase the systemic exposure of atazanavir or darunavir in combination with other antiretroviral agents in the treatment of HIV-1 infection.
D01155,Daclatasvir is a direct-acting antiviral agent used to treat specific hepatitis C virus (HCV) infections in combination with other antiviral agents.
D01156,Glasdegib is a sonic hedgehog receptor inhibitor used to treat newly diagnosed acute myeloid leukemia in patients over 75 years who cannot receive intense chemotherapy.
D01157,Tepotinib is an oral tyrosine kinase inhibitor targeted against MET for the treatment of metastatic non-small cell lung cancer in patients exhibiting MET exon 14 skipping mutations.
D01158,Telotristat ethyl is a tryptophan hydroxylase inhibitor that is used to treat carcinoid syndrome diarrhea.
D01159,Ixazomib is a monoclonal antibody used with other medications to treat multiple myeloma in patients who have received one other therapy already.
D01160,Lefamulin is a pleuromutilin antibacterial used to treat community-acquired bacterial pneumonia (CABP).
D01161,Bexagliflozin is a sodium-glucose co-transporter 2 inhibitor used to improve glycemic control in patients with type 2 diabetes mellitus.
D01162,"Vemurafenib is a kinase inhibitor used to treat patients with Erdheim-Chester Disease who have the BRAF V600 mutation, and melanoma in patients who have the BRAF V600E mutation."
D01166,Lumateperone is a novel 2nd generation antipsychotic used to manage both positive and negative symptoms in patients with schizophrenia.
D01167,"Dabrafenib is a kinase inhibitor used to treat patients with specific types of melanoma, non-small cell lung cancer, and thyroid cancer."
D01172,Grazoprevir is an antiviral and NS3/4A protease inhibitor used to treat hepatitis C infections.
D01173,Icotinib is a potent and specific epidermal growth factor receptor (EGFR) tyrosine kinase inhibitor.
D01174,Edoxaban is a novel oral anticoagulant used for reducing the risk of stroke and systemic embolism (SE) in patients with nonvalvular atrial fibrillation (NVAF).
D01175,"Ribociclib is a kinase inhibitor used to treat HR+, HER2- advanced or metastatic breast cancer."
D01177,Letermovir is an antiviral medication used for prophylaxis in adult transplant recipients at risk of cytomegalovirus (CMV) infection and disease.
D01178,"Conjugated estrogens is a mixture of estrogens used in estrogen replacement therapy for menopause and hypoestrogenism, used in the treatment of various malignancies, and used in the treatment of postmenopausal osteoporosis."
D01179,Sofosbuvir is a direct-acting antiviral agent used to treat specific hepatitis C virus (HCV) infections in combination with other antiviral agents.
D01181,Exenatide is a GLP-1 agonist used in the management of type 2 diabetes mellitus.
D01182,"Larotrectinib is a kinase inhibitor used to treat solid tumors with neurotrophic receptor tyrosine kinase gene fusion, are metastatic, high risk for surgery, or have no alternative treatments."
D01183,Tezacaftor is a medication used to treat homozygous or heterozygous F508del mutation cystic fibrosis.
D01186,Abemaciclib is a medication used to treat HR+ HER2- advanced or metastatic breast cancer.
D01187,"Flumatinib has been used in trials studying the treatment of Myelogenous Leukemia, Chronic."
D01188,Ibrexafungerp is a triterpene antifungal indicated in the treatment of vulvovaginal candidiasis and prevention of recurrent vulvovaginal candidiasis in post-menarchal patients.
D01189,Gilteritinib is an AXL receptor tyrosine kinase inhibitor used to treat relapsed or refractory acute myeloid leukemia.
D01190,Alectinib is a kinase inhibitor used to treat anaplastic lymphoma kinase positive metastatic non small cell lung cancer.
D01191,Avacopan is an orally bioavailable complement 5a receptor (C5aR) antagonist for the treatment of severe anti-neutrophil cytoplasmic (auto)antibody (ANCA)-associated vasculitis.
D01193,"Darexaban has been used in trials studying the prevention and basic science of Japanese, Caucasian, Thromboembolism, Pharmacodynamics, and Pharmacokinetics, among others."
D01194,"Venetoclax is a BCL-2 inhibitor used to treat chronic lymphocytic leukemia, small lymphocytic lymphoma, or acute myeloid leukemia."
D01195,Duvelisib is an inhibitor of phosphatidylinositol 3-kinase delta and gamma used to treat relapsed or refractory chronic lymphocytic leukemia or small lymphocytic lymphoma.
D01197,Encorafenib is a kinase inhibitor used to treat unresectable or metastatic melanoma with specific mutations.
D01198,Tucatinib is a kinase inhibitor used to treat certain types of unresectable/metastatic HER-2 positive breast cancer.
D01199,Rimegepant is an oral CGRP receptor antagonist used for the acute treatment of migraines with or without aura in adults.
D01200,"Eliglustat is a glucosylceramide synthase used to treat type 1 Gaucher disease in patients who are CYP2D6 extensive, intermediate, or poor metabolizers."
D01203,Infigratinib is an FGFR inhibitor used to treat locally advanced or metastatic cholangiocarcinoma in adults with a fibroblast growth factor receptor 2 (FGFR2) rearrangement.
D01205,Ferrous ascorbate is a medication used to treat iron-deficiency anemia.
D01206,Raltegravir is an antiretroviral agent used for the treatment of HIV infections in conjunction with other antiretrovirals.
D01207,Doxycycline is a tetracycline antibiotic used to treat a wide variety of bacterial infections.
D01208,Vericiguat is a soluble guanylate cyclase stimulator used to reduce heart failure-related hospitalization and cardiovascular death in patients with chronic systolic heart failure.
D01209,Tetracycline is an antibiotic used to treat a wide variety of susceptible infections.
D01210,Oxytetracycline is a tetracycline antibiotic used to treat a wide variety of susceptible bacterial infections.
D01211,Minocycline is a tetracycline analog used to treat a wide variety of infections in the body.
D01212,"Dicoumarol is an oral anticoagulant agent that works by interfering with the metabolism of vitamin K. In addition to its clinical use, it is also used in biochemical experiments as an inhibitor of reductases."
D01213,Piroxicam is an NSAID used to treat the symptoms of osteoarthritis and rheumatoid arthritis.
D01214,"Acenocoumarol is an anticoagulant drug used in the prevention of thromboembolic diseases in infarction and transient ischemic attacks, as well as management of deep vein thrombosis and myocardial infarction."
